-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.032,  0.148
-183.800, 80.198, 0.031,  0.181
-183.800, 80.196, 0.035,  0.214
-183.800, 80.193, 0.112,  0.247
-183.799, 80.185, 0.252,  0.280
-183.798, 80.173, 0.369,  0.313
-183.796, 80.154, 0.567,  0.346
-183.794, 80.131, 0.697,  0.379
-183.791, 80.105, 0.788,  0.412
-183.788, 80.074, 0.960,  0.445
-183.784, 80.035, 1.199,  0.478
-183.779, 79.989, 1.391,  0.511
-183.773, 79.938, 1.528,  0.544
-183.768, 79.885, 1.615,  0.577
-183.761, 79.830, 1.659,  0.610
-183.755, 79.775, 1.657,  0.643
-183.749, 79.722, 1.630,  0.676
-183.743, 79.669, 1.597,  0.709
-183.737, 79.618, 1.561,  0.742
-183.731, 79.568, 1.525,  0.775
-183.725, 79.519, 1.491,  0.808
-183.718, 79.471, 1.460,  0.841
-183.712, 79.424, 1.433,  0.874
-183.706, 79.378, 1.411,  0.907
-183.700, 79.332, 1.395,  0.940
-183.694, 79.287, 1.384,  0.973
-183.688, 79.241, 1.379,  1.006
-183.682, 79.196, 1.379,  1.039
-183.675, 79.150, 1.385,  1.072
-183.669, 79.104, 1.394,  1.105
-183.662, 79.057, 1.407,  1.138
-183.655, 79.010, 1.422,  1.171
-183.649, 78.963, 1.439,  1.204
-183.641, 78.915, 1.456,  1.237
-183.634, 78.866, 1.473,  1.270
-183.627, 78.817, 1.489,  1.303
-183.619, 78.767, 1.504,  1.336
-183.612, 78.717, 1.518,  1.369
-183.604, 78.667, 1.529,  1.402
-183.596, 78.616, 1.539,  1.435
-183.588, 78.565, 1.547,  1.468
-183.580, 78.514, 1.553,  1.501
-183.572, 78.463, 1.558,  1.534
-183.564, 78.411, 1.563,  1.567
-183.555, 78.360, 1.566,  1.600
-183.547, 78.308, 1.569,  1.633
-183.538, 78.256, 1.572,  1.666
-183.530, 78.205, 1.575,  1.699
-183.521, 78.153, 1.578,  1.732
